Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE
Volumrate_Easington_hourly,2,48,0.0003,16,279.09818,12.89559,16.706231623224554,77.70923972129822,33.845096826553345
Volumrate_St_Fergus_hourly,2,48,0.0003,16,22.856667,3.3019185,4.780864625247342,260.20240783691406,79.8288106918335
Volumrate_Danmark_hourly,2,48,0.0003,16,562.6962,23.356009,23.72121894058869,95.82955837249756,181.47388696670532
Volumrate_Belgia_hourly,2,48,0.0003,16,30.319187,3.9148088,5.506286149875126,11.92789152264595,10.10546013712883
Volumrate_Frankrike_hourly,2,48,0.0003,16,178.26714,8.22408,13.35167164141319,19400.917053222656,26.395070552825928
Volumrate_Tyskland_hourly,2,48,0.0003,16,304.46484,10.967119,17.448920990995404,10.789724439382553,9.13357362151146
Volumrate_Easington_hourly,5,48,0.0003,16,98.44282,8.702479,9.921835399158176,30.0081729888916,21.56101167201996,22.62603,54.448402
Volumrate_St_Fergus_hourly,5,48,0.0003,16,9.848969,2.1641743,3.138306782252763,202.54077911376953,92.41957664489746,6.214756,4.8283544
Volumrate_Danmark_hourly,5,48,0.0003,16,318.5119,17.481836,17.846901743873325,71.53299450874329,112.31570243835449,3.761282,24.32751
Volumrate_Belgia_hourly,5,48,0.0003,16,13.976899,2.1621077,3.738569130968918,7.383109629154205,6.2739163637161255,5.7681117,41.443047
Volumrate_Frankrike_hourly,5,48,0.0003,16,75.024635,6.8687086,8.661676241637146,10508.556365966797,25.538572669029236,13.300185,41.46005
Volumrate_Tyskland_hourly,5,48,0.0003,16,322.78394,16.41732,17.96618867614595,13.860173523426056,12.526744604110718,17.221836,130.34924
